Country,1990,1995,2000,2005,2010,2015,2020,roshd
Moldova (Republic of),-3.9,-6.1,-7.7,-0.6,-2.3,-3.483333333333334,-0.3,3.6
Namibia,-1.5499999999999998,-2.3,-2.5,-0.1,0.9,-3.3,-2.0,-0.4500000000000002
Malaysia,5.1,3.0,4.7,5.5,5.7,1.7,1.6,-3.4999999999999996
Slovenia,3.3,-1.7,0.1,1.5,3.9,1.6,1.0,-2.3
North Macedonia,-9.9,-10.1,-0.5,-1.4,-0.7,-0.9,-0.5,9.4
Turkmenistan,-2.3,2.2,-3.0,-5.4,-2.5,-1.9,-0.9,1.4
Lithuania,2.0,-5.5,-5.3,-5.8,-9.3,-5.916666666666667,-11.6,-13.6
Portugal,-3.0,3.0,3.4,0.2999999999999999,1.7,-2.7,-0.6,2.4
Cameroon,-0.4,-0.8,-0.7,-0.7,-0.6,-0.3,-0.2,0.2
Tanzania (United Republic of),0.6,4.3,-2.5,-1.7,-2.4,-1.0,-0.7,-1.2999999999999998
Honduras,-3.2,-2.9,-2.1,-1.2,-0.6,-0.7,-0.7,2.5
Colombia,-2.1,-1.7,-1.4,-1.1,-0.9,-0.8,4.2,6.300000000000001
Belize,-6.1,-9.1,10.5,4.4,5.8,4.4,3.2,9.3
Antigua and Barbuda,-9.3,6.8,6.8,0.6,4.5,2.1,0.0,9.3
Gabon,1.1,1.0,1.7,3.8,8.5,11.2,1.6,0.5
Morocco,-3.6,-3.6,-3.8,-4.4,-3.6,-2.2,-1.4,2.2
Greece,3.5,8.8,5.5,2.0,-6.7,-3.0,-1.5,-5.0
Peru,-2.7,-3.1,-2.0,-6.7,-8.5,-4.2,3.1,5.800000000000001
Comoros,-2.3,-1.4,-2.4,-3.5,-3.1,-2.7,-2.4,-0.10000000000000009
Indonesia,0.3,-0.0,-0.1,-1.1,-1.1,-0.39999999999999997,-0.4,-0.7
Bangladesh,-0.5,-1.5,-1.2,-2.2,-4.5,-3.0,-2.3,-1.7999999999999998
Canada,6.5,4.9,5.2,6.7,8.0,7.1,6.6,0.09999999999999964
United Kingdom,3.4666666666666663,0.7,1.8,3.3,7.1,4.0,3.9,0.43333333333333357
Guatemala,-6.9,-7.5,-7.3,-4.5,-1.6,-0.6,-0.5,6.4
Hungary,-1.7,1.9,1.5,1.2,0.5,0.6,0.6,2.3
Congo (Democratic Republic of the),0.5,-0.75,-4.3,-0.9,-0.1,0.0,0.3,-0.2
Luxembourg,6.9,10.1,12.566666666666668,6.5,17.5,18.1,16.3,9.4
Austria,2.9,5.8,1.6,4.4,3.7,6.3,7.4,4.5
Korea (Democratic People's Rep. of),0.0,0.0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2
Madagascar,-0.11666666666666665,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,0.01666666666666665
Bosnia and Herzegovina,-6.1,-35.7,-8.4,-0.3,-3.2,-14.5,-6.4,-0.3000000000000007
Croatia,1.1,-6.1,-8.3,-0.1,-0.5,-1.8,-1.9,-3.0
Yemen,-0.9,9.1,-1.2,-1.2,-0.6,-0.6,-1.1,-0.20000000000000007
Zimbabwe,1.7,-5.5,-9.0,-11.7,-8.3,-9.4,-8.2,-9.899999999999999
Chile,-1.1,0.1,0.3,0.5,1.3,1.9,6.0,7.1
Côte d'Ivoire,5.8,5.7,2.3,-3.4,-2.1,-0.7,-0.3,-6.1
Malawi,21.0,-17.9,-1.1,-1.0,-0.9,-1.0,-0.9,-21.9
Myanmar,-1.0,-3.3,-2.4,-5.1,-5.4,-2.0,-3.0,-2.0
Seychelles,-14.8,1.4,-0.6,6.2,-6.1,-2.1,-2.1,12.700000000000001
Cuba,-1.4,-2.2,-2.4,-2.6,-4.3,-1.4,-1.3,0.09999999999999987
Venezuela (Bolivarian Republic of),0.0,-0.0,-0.0,-4.45,-1.5,-2.9,-22.3,-22.3
Saint Lucia,-6.5,-7.1,-1.5666666666666664,-1.0,5.2,0.0,0.0,6.5
New Zealand,-0.6,6.7,2.3,6.7,2.9,4.0,3.2,3.8000000000000003
Bahamas,3.1999999999999997,-0.2,-2.1,7.6,8.6,2.7,2.6,-0.5999999999999996
Singapore,8.4,18.2,17.0,15.133333333333333,30.7,11.8,4.7,-3.7
Dominican Republic,-4.0,-3.9,-3.7,-3.5,-3.3,-3.1,-2.8,1.2000000000000002
Switzerland,4.0,7.3,1.8,6.366666666666667,9.1,9.9,6.1,2.0999999999999996
Afghanistan,-25.1,40.3,-8.9,6.4,-7.6,3.3,-1.7,23.400000000000002
Trinidad and Tobago,-2.9000000000000004,-5.3,-5.4,-2.7,-2.8,-0.6,-0.6,2.3000000000000003
Ireland,-7.2,-0.9,4.6,10.2,1.1166666666666665,-4.9,4.9,12.100000000000001
Mali,-12.1,-3.8,-2.8,-1.1,-1.4,-3.7,-2.1,10.0
Costa Rica,1.2,4.2,4.8,2.0,1.4,0.8,0.8,-0.3999999999999999
Norway,1.8,2.2,2.7,3.0,6.9,8.8,5.3,3.5
Tajikistan,-1.3,-3.9,-7.9,-4.5,-4.1,-3.4,-2.2,-0.9000000000000001
Angola,3.5,2.2,2.6,2.9,3.3,1.3,0.2,-3.3
