publisher,average_rating
Joseph Conrad,3.662857142857143
Joseph Delaney,3.99
Joseph E. Stiglitz,3.85
Joseph Epstein,3.9
Joseph Frank,4.5
Joseph Gallagher,4.49
Joseph Heller,3.56
Joseph J. Ellis,3.955
Joseph McMoneagle,3.59
Joseph O'Connor,3.4
Joseph Pearce,4.06
Joseph Vargo,4.23
Joseph Wambaugh,3.7649999999999997
Josiah Bunting,3.89
Joss Whedon,4.2
Jostein Gaarder,3.7775
José Saramago,3.9647058823529413
Joy Harjo,4.39
Joy King,4.15
Joy Kogawa,3.64
Joyce Carol Oates,3.604761904761905
Joyce Lankester Brisley,4.12
Joyce Meyer,4.34
Joyce Reardon,3.67
João Guimarães Rosa,4.33
Ju-Yeon Rhim,3.49
Juan Bonilla,3.54
Juan Rulfo,4.18
Judd Winick,3.43
Jude Fisher,4.29
Jude Watson,3.8449999999999998
Judi Barrett,4.023333333333333
Judith A. Lansdowne,4.02
Judith Butler,3.84
Judith Cornell,4.11
Judith Farr,3.84
Judith Larner Lowry,4.29
Judith M. Meloy,3.73
Judith McNaught,4.13
Judith Thurman,4.06
Judith Viorst,3.92
Judy Blume,3.84
Judy Hall,4.38
Judy Sierra,4.17
Judy Tam Sargent,3.2
Jules Verne,3.882
Julia Alvarez,3.83
Julia Briggs,4.15
Julia Butterfly Hill,3.95
Julia Child,4.17
Julia Glass,3.57
Julia Golding,4.21
Julia Indichova,3.83
Julia Jarman,4.03
Julia Wilkinson,4.27
Julian Barnes,3.7325
Julian Caldecott,4.5
Julian Jaynes,4.25
Julian Markels,3.33
Julian May,4.116
Julian Rubinstein,4.02
Julie A. Schrader,4.29
Julie Aigner-Clark,3.71
Julie Andrews Edwards,3.7750000000000004
Julie E. Czerneda,4.13
Julie Elizabeth Leto,3.77
Julie Garwood,4.0
Julie Kenner,3.6155555555555554
Julie Leto,3.58
Julie Mullaney,4.01
Julie Orringer,3.96
Julie Otsuka,3.73
Julie Powell,3.7
Julie Sylvester,5.0
Juliet Marillier,4.086666666666667
Juliette Aristides,4.12
Juliette Benzoni,4.19
Juliette De Bairacli Levy,4.38
Jun'ichirō Tanizaki,3.852222222222222
June Casagrande,3.78
Jung Chang,4.116666666666666
Junichi Satō,3.97
Junji Ito,4.13
Justin   O'Brien,3.5
Justin Akers Chacón,4.08
Justin Kaplan,3.99
Justine Korman Fontes,3.5
Jürgen Habermas,3.89
K.A. Applegate,3.77
Kahlil Gibran,4.099
Kaho Miyasaka,4.074999999999999
Kang-Woo Lee,4.03
Kaoru Mori,3.83
Kara,4.0649999999999995
Karel Čapek,4.17
Karen  O'Connor,3.098
Karen A. Bale,2.77
Karen Armstrong,3.975
Karen Berman,4.12
Karen Cushman,3.723333333333333
Karen Essex,3.72
Karen Harper,4.05
Karen Hawkins,3.8
Karen Hesse,3.8625
Karen Joy Fowler,3.08
Karen Katz,3.84
Karen Kingsbury,4.412307692307692
Karen Rizzo,3.67
Karen Tei Yamashita,3.7249999999999996
Karen Traviss,4.24
Karen Zeinert,4.0
Karin Slaughter,3.9575
Karl Barth,3.72
Karl Jaspers,3.92
Karl Marx,3.5625
Karyn Monk,3.75
Kate Atkinson,3.77625
Kate Bornstein,4.03
Kate Braverman,3.95
Kate Chopin,3.9499999999999997
Kate DiCamillo,4.090000000000001
Kate Elliott,3.91
Kate Hemphill,4.07
Kate Horsley,3.71
Kate Jacobs,3.42
Kate Klise,4.2
Kate Maurer,3.7
Kate McMullan,3.825
Kate Mosse,3.57
Kate Pennington,3.02
Kate Sedley,4.07
Kate Summerscale,3.69
Kate Walker,3.0
Katharine Holabird,3.88
Katharine McMahon,3.25
Katherine Beckett,3.87
Katherine Dunn,3.97
Katherine E. Krohn,3.79
Katherine Hall Page,3.68
Katherine Neville,3.91
Katherine Paterson,4.01
Katherine Ramsland,3.94
Kathleen A. Brehony,3.99
Kathleen Banks Freeman,4.25
Kathleen Eagle,3.79
Kathleen Eschenburg,3.88
Kathleen Olmstead,4.24
Kathleen Parkinson,3.88
Kathleen V. Kudlinski,3.93
Kathleen Winsor,3.99
Kathryn  Hughes,4.05
Kathryn Lasky,3.9642857142857144
Kathy Acker,3.54
Katrina Kittle,4.02
Kay Arthur,4.16
Kay Redfield Jamison,4.06
Kaye Gibbons,3.8549999999999995
Kaza Kingsley,4.0
Kazuo Ishiguro,3.7128571428571426
Kazuo Umezu,3.89
Kei Kusunoki,3.46
Kei Ohishi,3.82
Keith Badman,4.56
Keith Baker,3.65
Keith Donohue,5.0
Keith Gray,3.39
Keith Herber,3.7566666666666664
Kelley Armstrong,4.082857142857143
Kelly  Carr,3.0
Kelly McGrath Vlcek,3.81
Ken Follett,3.81
Ken Haedrich,3.81
Ken Kesey,3.89
Ken Knabb,4.26
Ken Mandelbaum,4.09
Kenneth C. Laudon,3.5
Kenneth Grahame,3.99
Kenneth H. Blanchard,3.8442857142857143
Kenneth Osgood,3.85
Kenneth Robeson,3.99
Kenneth Silverman,4.01
Kent R. Weeks,4.09
Kenzaburō Ōe,3.813333333333333
Keri Hulme,3.72
Kermit L. Hall,3.5
Kerry Patterson,4.03
Kevin   Walsh,4.16
Kevin Brockmeier,3.67
Kevin Crossley-Holland,4.01
Kevin D. Mitnick,3.76
Kevin Henkes,4.035
Kevin O'Malley,4.08
Kevin S. Decker,4.05
Kevin Smith,4.07
Kevin Trudeau,3.315
Kim Edwards,3.67
Kim Harrison,4.197142857142857
Kim Newman,3.16
Kim Stanley Robinson,3.6740000000000004
Kim Wilson,3.79
Kimon Nicolaides,3.9
King Arthur Flour,4.13
Kingdome 19,3.67
Kip S. Thorne,4.18
Kira Salak,3.93
Kitty Burns Florey,3.59
Kiyohiko Azuma,4.38
Knut Hamsun,3.8728571428571428
Kohta Hirano,4.325
Konrad Eisenbichler,2.0
Konrad Lorenz,4.23
Kresley Cole,4.0633333333333335
Kris Lane,3.52
Kristi Gold,3.27
Kristian Fraga,4.26
Kristiana Gregory,4.27
Kuki Gallmann,3.8
Kurban Said,3.92
Kurt Busiek,3.9659999999999997
Kurt Eichenwald,4.23
Kurt Reighley,3.36
Kurt Reiter,4.0
Kurt Vonnegut Jr.,3.892105263157895
Kym Douglas,3.37
Kyoko Hikawa,4.4399999999999995
Kōbō Abe,3.7125
Kōji Suzuki,3.67
L. Alan LeDoux,3.93
L. David Allen,3.45
L. John Mason,4.22
L. Sprague de Camp,3.65
L.A. Banks,4.1530000000000005
L.M. Montgomery,4.124615384615384
Lady Sarashina,3.82
Lala Okamoto,1.67
Lalita Tademy,4.06
Lan Samantha Chang,3.92
Lance Armstrong,3.6533333333333338
Lane Smith,4.21
Lani Guinier,3.87
Lao Tzu,4.3
Larry Bond,4.02
Larry Burkett,3.71
Larry J. Koenig,3.99
Larry J. Stephens,4.0
Larry McMurtry,4.13
Larry Young,3.0
Laura  Jordan,3.94
Laura Buller,3.91
Laura Caldwell,3.54
Laura Dave,3.45
Laura Driscoll,5.0
Laura E. Berk,3.64
Laura Esquivel,3.682
Laura Florand,3.53
Laura Furman,3.78
Laura Godwin,3.44
Laura Ingalls Wilder,4.0972
Laurel Thatcher Ulrich,4.01
Laurell K. Hamilton,3.980769230769231
Lauren  Levin,3.62
Lauren Bacall,3.95
Lauren Henderson,3.63
Lauren Slater,3.88
Lauren Stringer,3.9
Lauren Weisberger,3.5700000000000003
Lauren Willig,3.91
Laurence L. Brunton,4.29
Laurence Olivier,3.69
Laurence Sterne,3.74
Laurence Yep,3.706666666666667
Laurent de Brunhoff,3.82
Laurie Garrett,4.12
Laurie Halse Anderson,4.055
Laurie Notaro,3.8633333333333333
Lavigne,3.8
Lawrence Block,3.922222222222222
Lawrence Durrell,4.040000000000001
Lawrence Lessig,3.94
Lawrence M. Friedman,3.86
Lawrence M. Krauss,3.83
Lawrence M. Lasher,4.0
Lawrence Otis Graham,3.835
Lawrence Sanders,3.902
Lawrence Watt-Evans,3.71
Le Ly Hayslip,3.96
Leah Bendavid-Val,4.24
Lee Charles Kelley,3.7725
Lee Child,4.12125
Lee Seldes,3.87
Legs McNeil,4.16
Leigh Nichols,3.83
Leil Lowndes,3.78
Lennard Zinn,4.29
Lennart Hellsing,3.0
Leo Strauss,4.17
Leo Tolstoy,4.059565217391304
Leon Sciaky,4.13
Leon Uris,3.94
Leonard  Orr,3.92
Leonard Cottrell,3.89
Leonard Michaels,3.86
Leonard Sweet,3.25
Leonard Woolf,3.81
Leonardo Padura,3.72
Leonardo da Vinci,4.010000000000001
Leonore Fleischer,3.87
Lerone Bennett Jr.,4.44
Les Beletsky,4.48
Les Standiford,4.03
Lesley Glaister,3.8
Leslie Gross Portney,4.12
Leslie Kelly,3.59
Lester del Rey,3.79
Let's Go Inc.,3.93
Lewis B. Namier,3.11
Lewis Carroll,4.05
Lewis Perdue,3.66
Li Bai,4.14
Liam Callanan,3.38
Libba Bray,3.79
Library Company of Philadelphia,4.44
Lidia Matticchio Bastianich,4.19
Lilian Jackson Braun,3.9450000000000003
Lin Carter,3.5999999999999996
Lincoln Child,3.83
Linda  Anderson,3.44
Linda Francis Lee,3.62
Linda Glaser,3.64
Linda Hall,3.66
Linda Howard,3.93
Linda Jones,3.8
Linda Lael Miller,4.086
Linda Lay Shuler,4.03
Linda Lear,4.03
Linda Turner,3.57
Lindsey Davis,3.94
Lionel Trilling,3.51
Lisa Carey,3.77
Lisa Chaney,3.91
Lisa Gardner,4.093333333333334
Lisa Jackson,3.9
Lisa Lowe,4.0
Lisa McCourt,4.235
Lisa S.  French,4.0
Lisa See,3.835
Lisa Trumbauer,4.33
Lisa Unger,3.68
Lisa Wheeler,4.07
Lisa Whelchel,3.93
Livy,4.14
Liz Carlyle,3.84
Liz Palika,3.57
Liza Dalby,4.0
Lizzie Collingham,3.9
Lloyd Alexander,4.054
Lloyd P. Gerson,4.36
Logan Swanson,3.25
Lois Beckwith,4.03
Lois Gladys Leppard,3.925
Lois H. Gresh,3.42
Lois Lenski,3.5925000000000002
Lois Lowry,3.9
Lois N. Magner,4.53
Lolita Files,3.79
Lonely Planet,2.62
Lonn M. Friend,3.58
Lora Leigh,4.17
Lord Dunsany,3.94
Loree Lough,3.78
Lori Avocato,3.98
Lori Foster,3.73
Lori Fulton,3.64
Lorna Landvik,3.822
Lorrie Moore,4.033333333333334
Lotte H. Eisner,4.16
Lou Marinoff,3.41
Lou Priolo,4.25
Louann Brizendine,3.83
Louis Begley,3.66
Louis E. Catron,3.67
Louis L'Amour,4.07
Louis Menand,4.07
Louis P. Pojman,3.94
Louis Sachar,3.94625
Louis de Bernières,4.07
Louis-Ferdinand Céline,4.23
Louisa May Alcott,3.9533333333333336
Louise Bates Ames,3.86
Louise Borden,4.11
Louise DeSalvo,4.27
Loung Ung,4.35
Luanne Rice,4.06
Lucas Carlson,3.84
Lucille Colandro,3.85
Ludovico Ariosto,4.125
Ludwig Wittgenstein,4.166
Luigi  Barzini,3.79
Luigi Barzini,3.83
Luigi Pirandello,3.9285714285714284
Luis Fernando Verissimo,3.81
Luis Sepúlveda,4.016666666666667
Luis Vélez de Guevara,3.06
Luke Davies,4.09
Luke Welling,3.96
Lyle Saxon,4.04
Lyman S. Spitzer Jr.,4.25
Lyn Macdonald,4.26
Lynda Barry,4.16
Lynda La Plante,3.92
Lynda Madison,4.16
Lynda Milligan,4.285
Lynn Keller,4.4
Lynn Kurland,4.09
Lynn Setzer,3.71
Lynn Willis,3.71
Lynne Ann DeSpelder,3.77
Lynne Rae Perkins,3.34
Lynne Truss,3.74
Lynnette Khalfani,3.74
Lynsay Sands,4.025833333333334
M. John Harrison,3.6
M. Scott Peck,4.015
M.C. Beaton,3.811111111111111
M.J. Trow,3.57
M.M. Kaye,4.112857142857143
Madeleine Brent,4.154999999999999
Madeleine L'Engle,4.032222222222222
Maeve Binchy,3.8316666666666666
Maggie Black,3.93
Maggie Shayne,4.25
Maile Meloy,3.6
Maki Murakami,3.99
Makoto Inoue,4.57
Malcolm Barber,3.84
Malcolm Gladwell,3.9400000000000004
Malcolm Godwin,3.48
Malcolm Lowry,3.79
Malcolm X,4.46
Malvina G. Vogel,4.316666666666666
Mamiko Murakami,3.54
Mandy Aftel,4.09
Mansur Abdulin,4.1
Manuel Rivas,3.36
Manuela Soares,3.62
Mao Zedong,4.2
Marc Andreyko,3.9
Marc Bloch,4.05
Marc Eliot,3.85
Marc J.  Seifer,3.78
Marc Platt,3.22
Marcel Proust,4.2894736842105265
Marcella Hazan,4.32
Marcia Angell,3.95
Marco Polo,3.58
Marcus Aurelius,4.23
Marcus J. Borg,4.125
Marcus Tullius Cicero,3.96
Marcy Kelman,3.68
Margaret  Rose,3.32
Margaret A. Weitekamp,3.82
Margaret Atwood,3.9125
Margaret Bertha Synge,3.5
Margaret Cho,3.69
Margaret Feinberg,4.36
Margaret George,4.163333333333333
Margaret Hodges,4.18
Margaret Johnson,3.41
Margaret MacMillan,4.08
Margaret Mitchell,4.29
Margaret Peterson Haddix,4.02
Margaret Sanborn,3.96
Margaret Shepherd,3.58
Margaret Sidney,3.975
Margaret Thaler Singer,3.95
Margaret Truman,3.676666666666667
Margaret Weis,3.835277777777778
Margaret Weiss,3.4
Margaret Wise Brown,3.925
Margery Clark,4.37
Margery Facklam,3.78
Margo Daly,3.93
Margo Maine,3.57
Margot Adler,4.02
Margot Theis Raven,4.0
Marguerite Duras,3.71625
Marguerite Henry,4.05
Marguerite Yourcenar,4.25
Mari Mancusi,3.7900000000000005
Maria Antonia Garcés,3.14
Maria Coffey,3.88
Maria Skobtsova,4.31
Marian Keyes,3.7864705882352943
Marianna Mayer,4.140000000000001
Marianne Sturman,3.73
Marianne Williams,3.72
Marianne Williamson,4.28
Marie McSwigan,3.97
Mariel Hemingway,3.89
Marilyn Herbert,4.0
Marilyn Johnson,3.41
Marilyn Manson,3.89
Marilyn Sadler,3.87
Marilynne Robinson,3.82
Marina Belozerskaya,3.53
Mario Puzo,3.8250000000000006
Mario Vargas Llosa,3.92
Marion Crawford,4.03
Marion Woodman,4.24
Marion Zimmer Bradley,3.99
Marisabina Russo,4.13
Marisha Pessl,3.71
Marissa Moss,4.015
Marjane Satrapi,4.0525
Marjorie Garber,4.38
Marjorie Weinman Sharmat,3.72
Mark      Stevens,3.97
Mark  Hunter,3.36
Mark Allen Weiss,3.8600000000000003
Mark Bailey,3.9
Mark Behr,3.8
Mark Bittman,3.94
Mark Bowden,4.140000000000001
Mark Cahill,4.13
Mark Cohen,3.67
Mark Crispin Miller,3.56
Mark Dunn,3.85
Mark Epstein,3.9450000000000003
Mark Fainaru-Wada,3.81
Mark Haddon,3.7542857142857144
Mark Harlan,3.82
Mark Helprin,3.5
Mark Hertsgaard,4.16
Mark Hoppus,4.39
Mark Kermode,4.43
Mark Kurlansky,3.8122222222222226
Mark LeVine,2.5
Mark Lewisohn,4.39
Mark Leyner,3.55
Mark Manning,3.96
Mark Mazower,4.27
Mark Mittelberg,3.75
Mark Nepo,4.31
Mark Nesbitt,4.03
Mark O'Shea,4.0
Mark Rothko,3.84
Mark S. Smith,4.03
Mark Shepard,3.62
Mark Smylie,4.055
Mark Stevens,4.11
Mark Steyn,4.13
Mark T. Conard,3.75
Mark Twain,3.9693548387096773
Mark Vonnegut,3.87
Mark Waid,3.7416666666666667
Mark Wigan,3.62
Mark Yarnell,4.04
Mark Z. Danielewski,3.8625
Mark Zwonitzer,4.28
Markus Zusak,3.872
Marlene Targ Brill,3.96
Marlo Morgan,3.79
Marsha Collier,3.5825
Marshall McLuhan,4.036666666666666
Marshall Sahlins,3.7975000000000003
Marta Acosta,3.695
Martha Grimes,3.825
Martha Hailey DuBose,4.33
Martha Heineman Pieper,3.91
Marthe Le Van,4.23
Martin  Gilbert,4.225
Martin Amis,3.5236363636363635
Martin E.P. Seligman,3.975
Martin Fowler,4.24
Martin Gardner,4.06
Martin H. Greenberg,3.5500000000000003
Martin Heidegger,4.234999999999999
Martin Luther King Jr.,4.35
Martin Millar,3.51
Martin S. Fridson,3.91
Martin Woodside,3.97
Martine Agassi,4.04
Marvin Kaye,3.95
Marvin N. Olasky,3.15
Mary  Pacios,3.5
Mary  Stewart,4.057777777777777
Mary Alice Monroe,4.2
Mary Anna Evans,4.03
Mary Ashworth,3.4
Mary B. Collins,2.93
Mary B. Morrison,4.38
Mary Balogh,3.83
Mary Burton,3.81
Mary Daly,3.84
Mary Doria Russell,4.079999999999999
Mary Downing Hahn,4.07
Mary Ellen Snodgrass,3.5
Mary Engelbreit,4.37
Mary Gaitskill,3.64
Mary Gordon,3.69
Mary Higgins Clark,3.728
Mary Jane Maffini,4.0
Mary K. Baxter,4.18
Mary Karr,3.93
Mary Kay Andrews,3.99
Mary Lawson,3.88
Mary M. Flekke,3.0
Mary McBride,4.1
Mary McCarthy,3.66
Mary O'Neill,4.31
Mary Oliver,4.36
Mary Pope Osborne,4.015
Mary Roach,3.82
Mary S. Lovell,3.995
Mary Walton,3.95
Mary Westmacott,4.18
Mary Wollstonecraft Shelley,3.79
MaryAnn F. Kohl,4.24
MaryJanice Davidson,3.81
Maryam Riess,3.4
Masakazu Katsura,3.75
Masaki Yamada,3.97
Masamune Shirow,4.036666666666666
Matt Braun,3.535
Matt Christopher,3.89
Matt Keefe,3.85
Matt Ridley,3.9766666666666666
Matt Riser,4.36
Matt Wagner,4.08
Matthew Barber,3.61
Matthew Bortolin,4.03
Matthew J. Gibney,3.55
Matthew Kneale,4.06
Matthew Pearl,3.38
Matthew Scully,4.16
Matthew Woodring Stover,4.14
Maud Hart Lovelace,4.148
Maureen Child,3.6
Maureen Johnson,3.55
Maureen Kelly,3.95
Maurice Merleau-Ponty,4.15
Maurice Sendak,4.22
Mavis Applewater,3.86
Max Allan Collins,3.7520000000000002
Max Barry,3.7566666666666664
Max Beerbohm,3.88
Max Brooks,4.01
Max Eilenberg,4.37
Max Frisch,3.74
Max Lucado,4.25
Maxim Gorky,3.96
Maxine Hong Kingston,3.73
Maxine Swann,3.2
Maxwell Mackenzie,3.83
Maya Angelou,4.354285714285714
Maya Gold,3.8
Mayu Shinjō,4.203333333333333
McDougal Littell,2.0
Meg Cabot,3.7366666666666664
Megan McDonald,4.075
Megan Whalen Turner,4.055
Mel Odom,3.67
Melania G. Mazzucco,3.77
Melanie Rawn,3.82
Melinda Curtis,3.6
Melinda Haynes,3.69
Melinda Long,4.08
Melissa Kantor,3.66
Melissa M. Garcia,4.67
Melissa Wiley,4.15
Melissa de la Cruz,3.8166666666666664
Meljean Brook,3.53
Melody Carlson,3.49
Melody Malmberg,4.32
Mercedes Lackey,4.002750000000001
Mercer Mayer,4.62
Meredith Daneman,4.03
Meredith Fletcher,3.72
Merlin Donald,4.16
Merlin Holland,4.04
Merline Lovelace,3.61
Mervyn Peake,4.09
Mian Mian,3.32
Miasha,4.34
Michael      Casey,4.67
Michael     Lewis,3.75
Michael   Barber,3.72
Michael   Lewis,3.9916666666666667
Michael  Howard,4.01
Michael  Wood,4.54
Michael A. Stackpole,3.88
Michael Azerrad,4.18
Michael B. Oren,3.98
Michael Baur,3.63
Michael C. Feathers,4.14
Michael C.J. Putnam,3.71
Michael Chabon,3.7079999999999997
Michael Connelly,4.133529411764705
Michael Craft,3.8175
Michael Crichton,3.7933333333333334
Michael Cunningham,3.745
Michael D. Coe,4.03
Michael D. Lyman,4.005
Michael D. Oates,3.39
Michael Dorris,3.86
Michael E. Doyle,4.26
Michael Eliot Howard,4.09
Michael Ende,4.13
Michael F. Roizen,3.74
Michael Gray,4.27
Michael H. Jackson,3.88
Michael Hanlon,3.6
Michael Herr,4.23
Michael J. Bradley,4.29
Michael J. Davey,3.61
Michael J. Gelb,3.85
Michael J. Lyons,3.9
Michael J. Mauboussin,4.09
Michael J. Nelson,3.7675
Michael Jan Friedman,3.71
Michael Jecks,4.08
Michael K. Brett-Surman,4.15
Michael Korda,3.87
Michael Koryta,3.89
Michael L. Perlis,4.05
Michael Littlefield,4.62
Michael Marshall Smith,4.085
Michael Moorcock,3.8619999999999997
Michael Morpurgo,3.895
Michael Munn,3.97
Michael Neill,4.14
Michael Nelson,4.0
Michael O. Tunnell,4.22
Michael Ochs,3.85
Michael Ondaatje,3.57
Michael Parenti,4.17
Michael Pollan,4.06
Michael R. French,4.17
Michael R. Phillips,4.33
Michael Rabiger,4.23
Michael S.  Smith,4.17
Michael S. Reynolds,4.17
Michael Shaara,4.32
Michael Spring,3.67
Michael Streissguth,3.79
Michael Swanwick,3.69
Michael Syvanen,4.0
Michael T. Goodrich,3.83
Michael Teitelbaum,4.21
Michael Vitez,4.16
Michael W. Dean,3.49
Michael Wharton,3.25
Michaela Muntean,3.9
Michel Faber,3.89
Michel Foucault,4.053333333333334
Michel de Montaigne,4.162000000000001
Michela Wrong,3.99
Michele K. Spike,3.68
Michelle Feynman,4.31
Michelle Lovric,3.955
Michelle Sagara,3.95
Michelle Tea,3.52
Michio Kaku,4.135
Michka Assayas,3.95
Micol Ostow,3.41
Middlesex Borough Heritage Committee,5.0
Miep Gies,4.29
Miguel Serrano,4.02
Miguel de Cervantes Saavedra,3.8311111111111114
Mikal Gilmore,3.74
Mike   Mason,3.58
Mike  Davis,4.015000000000001
Mike  Rowe,3.92
Mike Ashley,3.77
Mike Carey,4.24
Mike Kennedy,3.35
Mike Lupica,3.98
Mike Mason,4.46
Mikhail Bakhtin,4.34
Mikhail Bakunin,3.77
Mikhail Bulgakov,4.3
Mikhail Tal,4.535
Milan Kundera,3.904
Milan Trenc,3.91
Miles J. Stanford,4.2
Mimi Dietrich,4.25
Mina Loy,4.17
Mine Yoshizaki,4.23
Mineko Iwasaki,3.93
Minette Walters,3.7016666666666667
Minfong Ho,4.03
Mira Nair,4.05
Mircea Eliade,4.091666666666667
Miriam Toews,3.65
Miroslav Sasek,4.29
Miroslav Volf,4.27
Misao Inagaki,3.63
Mistress Lorelei,3.76
Mitali Perkins,3.82
Mitch Albom,4.032
Mitchel Resnick,3.86
Miyamoto Musashi,4.07
Mollie Hunter,3.82
Molly Bang,3.74
Molly C. Lee,3.5
Molly Hatchet,4.33
Mona Lisa Schulz,3.93
Monica Ali,3.0650000000000004
Monica Drake,3.39
Monica Furlong,4.15
Monica Kulling,4.28
Monique Truong,3.52
Monte Cook,4.2
Monty Roberts,4.12
Morag McKendrick Pippin,3.455
Muhammad Yunus,4.09
Mulk Raj Anand,3.71
Murasaki Shikibu,3.7300000000000004
Muriel Spark,3.79
Murray Sayle,4.72
Murray Smith,4.03
Myla Goldberg,3.27
Mymi Doinet,2.0
Mystery,3.7
NOT A BOOK,4.386
Nadeem Aslam,3.78
Nadine Cohodas,3.96
Naguib Mahfouz,4.01375
Nancy   Harding,3.08
Nancy Bartholomew,3.69
Nancy Conrad,4.08
Nancy Cote,3.98
Nancy Friday,3.68
Nancy Hall,4.37
Nancy Holyoke,4.14
Nancy L. Mace,4.24
Nancy M. Armstrong,3.45
Nancy MacDonell Smith,3.43
Nancy Milford,4.01
Nancy Osa,3.45
Nancy Tillman,4.36
Nancy Verde Barr,3.42
Nancy White Carlstrom,3.72
Naomi Novik,3.9699999999999998
Naomi Wolf,3.89
Napoleon Hill,4.18
Narendra Jadhav,3.82
Narise Konohara,3.73
Nassim Nicholas Taleb,4.06
Natalie Babbitt,3.87
Natalie Goldberg,4.19
Nathan Englander,3.795
Nathaniel Hawthorne,3.4722222222222223
Nathaniel Philbrick,4.015000000000001
National Commission on Terrorist Attacks Upon The United States,3.6
National Geographic Society,4.24
Natsuo Kirino,3.8833333333333333
Nayantara Sahgal,2.98
Neal Barrett Jr.,2.96
Neal Stephenson,3.9321428571428574
Neale Donald Walsch,4.173333333333333
Ned Vizzini,3.9033333333333338
Neil Cole,3.88
Neil Gaiman,4.1916
Neil LaBute,3.56
Neil Strauss,3.845
Neil deGrasse Tyson,4.096666666666667
Nella Larsen,3.89
Nelson DeMille,3.8854545454545457
Nelson Mandela,4.33
Nevil Shute,3.94
New Scientist,3.52
Newt Scamander,3.99
Nextext,3.5
Ngawang Pelzang,4.61
Niccolò Machiavelli,3.81
Nicholas    Evans,5.0
Nicholas A. Basbanes,3.96
Nicholas Christopher,3.3
Nicholas Dawidoff,4.24
Nicholas Dodman,4.08
Nicholas Evans,4.06
Nicholas Humphrey,3.61
Nicholas Johnson,3.72
Nicholas P. White,3.67
Nicholas Sparks,3.998333333333333
Nicholas Wright,4.02
Nicholson Baker,3.4524999999999997
Nick  Webb,4.14
Nick Cook,4.12
Nick Flynn,4.02
Nick Hornby,3.704444444444445
Nick Lane,4.24
Nick Rennison,4.26
Nick Tosches,3.6450000000000005
Nicola Davies,4.13
Nicolas Tredell,3.96
Nicole Krauss,3.625
Nigel Findley,3.54
Nigel Tranter,3.93
Nigel Warburton,3.865
Nigella Lawson,4.018
Nikki Giovanni,4.343333333333333
Nikki Stafford,4.13
Nikola Tesla,4.07
Nikolai Gogol,4.086666666666667
Nikos Kazantzakis,4.16
Nina Bangs,3.75
Nir Hefez,3.72
Noah Eli Gordon,4.32
Noah Gordon,3.934
Noam Chomsky,3.9244444444444446
Nobuhiro Watsuki,4.38
Noel Malcolm,4.07
Noel Streatfeild,3.8659999999999997
Noire,4.39
Nora Ephron,3.643333333333333
Nora Kelly,3.7
Nora Roberts,4.014375
Norah Vincent,3.33
Norma Goldman,4.220000000000001
Norman Davies,4.17
Norman Kolpas,3.88
Norman L. Geisler,3.31
Norman Maclean,4.1433333333333335
Norman Mailer,3.62
Norman Rush,3.755
Norman Schwarzkopf,4.04
Norman Sherry,4.11
Norton Juster,4.072
Nuala O'Faolain,3.24
Núria Roca,3.82
O. Henry,4.205
Octavio Paz,4.215999999999999
Oh! Great,4.03
Oliver Ho,3.99
Oliver Sacks,4.1
Open City Magazine,0.0
Orhan Pamuk,3.714
Orlando Figes,4.31
Orson Scott Card,3.7939999999999996
Oscar Hijuelos,3.645
Oscar Wilde,4.09375
Otis Williams,4.19
Overeaters Anonymous,4.36
Ovid,4.202222222222222
Owen    Jones,3.46
Owen  Thomas,3.95
P.C. Cast,4.048
P.D. Eastman,4.155
P.D. James,3.9084615384615384
P.G. Wodehouse,4.164565217391305
P.J. O'Rourke,4.01
P.J. Parrish,4.046
P.J. Tracy,4.12
P.N. Furbank,4.14
P.T. Deutermann,3.8866666666666667
Pablo Neruda,4.337777777777777
Paco Underhill,3.6
Padraic Colum,3.9
Page McBrier,4.25
Pam Johnson-Bennett,4.06
Pam Muñoz Ryan,3.97
Pamela Ball,3.68
Pamela Duncan Edwards,3.76
Pamela F. Service,4.25
Pamela Peeke,3.65
Pansy,4.04
Paola Cavalieri,4.05
Paola Nanni-Tate,4.0
Paramahansa Yogananda,4.343333333333334
Paschal Beverly Randolph,3.85
Pat Barker,4.38
Pat Conroy,4.180000000000001
Pat Frank,4.08
Pat Harrigan,4.05
Pat Williams,3.7
Patricia A. McKillip,3.9250000000000003
Patricia B. McConnell,4.33
Patricia Cornwell,3.869285714285714
Patricia D. Netzley,3.6
Patricia Daniels Cornwell,4.02
Patricia Hall,3.48
Patricia Highsmith,3.78
Patricia Justine Tumang,4.43
Patricia McHugh,3.89
Patricia Schultz,3.85
Patricia Thomas,4.39
Patrick Larkin,3.98
Patrick Lencioni,4.045
Patrick Marnham,4.08
Patrick McGrath,3.4699999999999998
Patrick Nobes,3.91
Patrick O'Brian,4.332142857142857
Patrick Robinson,3.99625
Patrick Süskind,3.8814285714285712
Patti   Davis,3.82
Patti Kelley Criswell,4.26
Paul       Davidson,3.61
Paul  Collins,3.98
Paul  Kirk,3.94
Paul A. Sabatier,3.21
Paul Alexander,3.92
Paul Anthony Cartledge,3.86
Paul Auster,3.8381250000000002
Paul Belien,4.14
Paul Bowles,3.9271428571428575
Paul Brooks,3.95
Paul Burrell,3.64
Paul Coughlin,3.77
Paul Crilley,3.65
