publisher,average_rating
Barbara Cleverly,3.84
Barbara Coloroso,4.19
Barbara Conklin,3.7899999999999996
Barbara Ehrenreich,3.7475
Barbara Fairchild,4.07
Barbara Hambly,3.93
Barbara Haworth-Attard,3.91
Barbara Kerley,4.05
Barbara Kingsolver,4.0285714285714285
Barbara Leonie Picard,4.05
Barbara M. Walker,4.15
Barbara Nadel,3.6125
Barbara Park,4.0
Barbara Richard,3.76
Barbara Taylor Bradford,3.905
Barbara W. Tuchman,4.125
Bard E. O'Neill,3.91
Bard Thompson,3.96
Barrie Trinkle,4.17
Barrington Moore Jr.,3.98
Barron's,3.72
Barry  Lopez,4.1325
Barry Chubin,2.62
Barry Eisler,4.27
Barry Glassner,3.7
Barry Hughart,4.29
Barry R. Cournoyer,3.4
Barry Schwartz,3.85
Bart D. Ehrman,3.64
Bart G. Farkas,3.81
Bart King,4.23
Barthe DeClements,3.7750000000000004
Bartholomew Gill,3.74
Barton Zwiebach,4.16
Basil Mahon,4.13
Basil Pao,4.0
Beatrix Potter,4.2700000000000005
Bebe Moore Campbell,3.81
Belva Plain,3.91
Ben Avery,4.14
Ben Bova,3.72
Ben Carson,4.21
Ben Counter,3.77
Ben Elton,3.7350000000000003
Ben Katchor,4.35
Ben M. Baglio,3.96
Ben Mezrich,3.89
Ben Mikaelsen,3.79
Ben R. Kaplan,3.45
Ben Schoen,4.23
Ben Schott,4.08
Benjamin James Sadock,4.22
Bentley Little,3.62
Bernard Cornwell,4.18
Bernard Lewis,3.49
Bernard Malamud,3.89
Bernard Taper,4.31
Bernard Williams,4.04
Bernd Matzkowski,3.6
Bernice Kert,4.17
Beryl Markham,3.72
Bessie Head,3.84
Beth A. Jones,4.67
Beth Hensperger,3.78
Beth Moore,4.09
Bethany Roberts,3.24
Bette Greene,3.68
Better Homes and Gardens,0.0
Betty  Smith,4.26
Betty Friedan,3.86
Betty Jay,3.56
Betty MacDonald,4.255
Betty Mahmoody,4.1
Betty Neels,3.97
Beverly Daniel Tatum,4.21
Bill   Phillips,3.5
Bill  Bryson,3.38
Bill Brittain,3.83
Bill Bryson,3.9417391304347826
Bill Buford,3.94
Bill Clinton,3.775
Bill Cosby,3.456666666666667
Bill Farrel,3.88
Bill Hurter,3.62
Bill Hybels,3.86
Bill Maher,3.4433333333333334
Bill Nichols,3.79
Bill Phillips,3.845
Bill Pittman,4.44
Bill Potter,4.1
Bill Richardson,3.77
Bill Watterson,4.708571428571429
Bill Willingham,4.104444444444444
Billie Letts,4.02
Billy Collins,4.2
Billy Crystal,3.99
Billy Mills,3.57
Binjamin W. Segel,3.3
Black Elk,4.13
Blaine M. Yorgason,3.78
Blake Nelson,3.5444444444444443
Bob      Smith,3.74
Bob Blaisdell,4.175
Bob Cullen,3.32
Bob Dylan,4.045
Bob Madgic,3.77
Bob Marley,4.48
Bob Spitz,4.15
Bob Tarte,3.44
Bob Woodward,3.778
Bobby Henderson,3.93
Bodie Thoene,4.09
Boethius,3.98
Bonnie Burton,4.05
Boris Pasternak,4.04
Boris Vian,3.97
Brad Meltzer,4.04
Brad Thor,4.175
Brady Games,3.9299999999999997
Bram Stoker,3.72125
Brandon Mull,4.1
Brenda Joyce,4.0
Brenda Novak,4.11
Brenda Walpole,3.94
Bret Easton Ellis,3.5942857142857143
Brian  Doyle,4.01
Brian Azzarello,3.32
Brian Boyd,4.275
Brian Braithwaite,3.4
Brian Copeland,4.04
Brian D. McLaren,3.585
Brian Doherty,4.25
Brian Greene,4.096666666666667
Brian Hall,3.35
Brian Herbert,3.731666666666667
Brian J. Robb,2.8
Brian Jacques,4.051111111111111
Brian James Freeman,4.23
Brian Johnston,4.14
Brian K. Vaughan,3.97
Brian L. Weiss,4.16
Brian Michael Bendis,3.9
Brian Rotman,4.06
Brian Sibley,4.3374999999999995
Brian Tracy,4.05
Brigid Avison,3.92
Broughton Coburn,4.03
Bruce Alvin King,2.0
Bruce Arnold,3.82
Bruce Campbell,4.0
Bruce Catton,4.220000000000001
Bruce Coville,4.04
Bruce Cumings,3.77
Bruce Edward Walker,4.17
Bruce Feiler,3.87
Bruce H. Wilkinson,4.26
Bruce L. Edwards,4.43
Bruce Patton,4.09
Bruce Spizer,4.72
Bryan Lee O'Malley,4.17
Bryan Magee,4.09
Bryan Sykes,3.92
Bryce Courtenay,4.112
Burton G. Malkiel,4.1
Buzz Bissinger,3.87
C. Hassell Bullock,3.68
C.D. Payne,4.029999999999999
C.D.B. Bryan,4.11
C.E. Murphy,3.925
C.G. Jung,4.38
C.S. Friedman,4.014285714285714
C.S. Harris,3.89
C.S. Lewis,4.192121212121212
CLAMP,4.20764705882353
Cait London,3.9425
Caitlin Brennan,3.91
Caleb Carr,4.06
Camellia Panjabi,4.15
Candace Bushnell,3.2133333333333334
Candace Schuler,3.89
Candace Ward,3.9899999999999998
Candida Höfer,4.28
Cara Black,3.73
Carl Hiaasen,3.9026666666666667
Carl Plasa,3.63
Carl Safina,4.24
Carl Sagan,4.225
Carl Senna,3.75
Carl Zimmer,4.02
Carla Lynn Stockton,3.69
Carlene Fredericka Brennen,3.82
Carlos A. Schwantes,4.0
Carlos Castañeda,4.11625
Carlos Marighella,3.31
Carlos Ruiz Zafón,3.9975
Carlton Mellick III,3.56
Carol Adrienne,3.76
Carol Belanger Grafton,3.96
Carol Dommermuth-Costa,3.93
