Ballantine Books (NY),<250,1
Banner of Truth,<250,2
Bantam,250-499,69
Bantam,500-749,13
Bantam,750-999,3
Bantam,<250,25
Bantam (Fanfare Imprint),<250,2
Bantam (Fanfare),<250,1
Bantam Books,250-499,21
Bantam Books,500-749,4
Bantam Books,750-999,2
Bantam Books,<250,21
Bantam Books  Inc.,500-749,1
Bantam Books (NY),250-499,2
Bantam Books (NY),500-749,1
Bantam Classic,500-749,1
Bantam Classics,250-499,3
Bantam Classics,500-749,1
Bantam Classics,750-999,1
Bantam Classics,<250,4
Bantam Classics,>=1000,2
Bantam Doubleday Dell (NYC),<250,1
Bantam Doubleday Dell Publishing Company Inc.,<250,1
Bantam Doubleday Dell Publishing Group,250-499,3
Bantam Press,250-499,5
Bantam Skylark,<250,2
Bantam Spectra,250-499,6
Bantam Spectra,500-749,2
Bantam Spectra (NY),250-499,1
Bantam Starfire,<250,1
BantamSpectra,250-499,1
Bantem Press,250-499,1
Barbour Books,<250,1
Barefoot Books,<250,1
Barn Owl Books,<250,1
Barnes  Noble,250-499,1
Barnes  Noble,500-749,1
Barnes  Noble Classics,250-499,13
Barnes  Noble Classics,500-749,12
Barnes  Noble Classics,750-999,3
Barnes  Noble Classics,<250,4
Barnes & Noble,250-499,3
Barnes & Noble,500-749,1
Barnes & Noble,750-999,2
Barnes & Noble Books,250-499,1
Barnes & Noble Classics,250-499,3
Barnes & Noble Classics,750-999,1
Baronet Books,<250,1
Barricade Books,250-499,1
Barricade Books,<250,1
Barrington Stoke,<250,1
Barron's Educational Series,<250,4
Barrons Educational Series,250-499,3
Barrons Educational Series,500-749,1
Barrons Educational Series,<250,1
Basic Books,250-499,19
Basic Books,500-749,8
Basic Books,<250,16
Basic Books (AZ),500-749,1
Basil Blackwell (Cambridge  MA/Oxford),250-499,1
Bastei Lübbe,>=1000,1
Baton Wicks,250-499,1
Batsford,250-499,1
Be Beautiful,<250,3
Beach Lane Books,<250,3
Beacon Press,250-499,2
Beacon Press,500-749,1
Beacon Press,<250,7
Beacon Press (Boston),<250,1
Bear  Company,250-499,1
Beckett Media,750-999,1
Bedford Books,250-499,1
Bedford Books,750-999,1
Bedford Books,<250,2
Bedford/St. Martin's,<250,1
Belknap Press,250-499,3
Belknap Press,500-749,4
Belknap Press of Harvard University Press,500-749,1
Belknap Press of Harvard University Press,750-999,1
Beltz und Gelberg,250-499,1
BenBella Books,250-499,1
Benjamin Cummings,250-499,1
Benjamin-Cummings Publishing Company,250-499,1
Benjamin-Cummings Publishing Company,>=1000,1
Benziger,<250,1
Berkley,250-499,66
Berkley,500-749,6
Berkley,<250,14
Berkley Books,250-499,27
Berkley Books,500-749,5
Berkley Books,750-999,3
Berkley Books,<250,7
Berkley Books,>=1000,1
Berkley Books (NY),<250,1
Berkley Hardcover,250-499,3
Berkley Heat,250-499,1
Berkley Prime Crime,<250,1
Berkley Prime Crime Books,<250,1
Berkley Publishing,250-499,1
Berkley Publishing Group,250-499,5
Berkley Publishing Group,<250,1
Berkley Sensation,250-499,14
Berkley Trade,250-499,7
Berkley Trade,500-749,2
Berkley Trade,<250,2
Berlitz Kids,<250,3
Berrett-Koehler Publishers,250-499,1
Berrett-Koehler Publishers,<250,3
Bertrand,250-499,1
Bethany House Publishers,250-499,4
Bethany House Publishers,<250,6
Better Homes and Gardens Books,<250,1
Between the Lines Productions,<250,1
BiblioLife,<250,1
Big Finish,<250,1
Billboard Books,250-499,1
Birlinn,500-749,1
Birlinn Ltd,250-499,1
Bison Books,250-499,3
Bison Books,<250,3
Black Classic Press,250-499,3
Black Dog & Leventhal,250-499,2
Black Dog & Leventhal Publishers,250-499,8
Black Dog & Leventhal Publishers,<250,2
Black Lizard Books,250-499,1
Black Sparrow Press,250-499,2
Black Swan,250-499,7
Black Swan,500-749,2
Black Swan,750-999,1
Black Swan,<250,2
Blackstone Audiobooks,250-499,1
Blackstone Audiobooks,<250,10
Blackstone Publishing,<250,1
Blackwell Publishers,250-499,1
Blackwell Publishers,500-749,2
Blackwell Publishing  Inc.,250-499,1
Blanvalet Taschenbuch,500-749,1
Blanvalet Taschenbuch Verlag,250-499,1
Blanvalet Taschenbuch Verlag,500-749,2
Blanvalet Verlag GmbH,500-749,1
Blood Moon Productions,500-749,1
Bloomsbury,250-499,3
Bloomsbury,500-749,4
Bloomsbury,<250,4
Bloomsbury (NYC),500-749,1
Bloomsbury / Continuum,<250,1
Bloomsbury Academic,250-499,5
Bloomsbury Academic,500-749,2
Bloomsbury Academic,750-999,1
Bloomsbury Academic,<250,11
Bloomsbury Arden Shakespeare,250-499,8
Bloomsbury Arden Shakespeare,500-749,1
Bloomsbury Children's Books,250-499,1
Bloomsbury Childrens Books,<250,1
Bloomsbury Methuen Drama,250-499,1
Bloomsbury Methuen Drama,<250,5
Bloomsbury Paperbacks,250-499,1
Bloomsbury Publishing,750-999,1
Bloomsbury Publishing,<250,1
Bloomsbury Publishing PLC,250-499,6
Bloomsbury Publishing PLC,500-749,1
Bloomsbury Publishing PLC,<250,7
Bloomsbury U.S.A. Children's Books,<250,3
Bloomsbury UK,250-499,1
Bloomsbury USA,250-499,2
Bloomsbury USA,<250,1
Bloomsbury USA Children's Books,250-499,1
Bloomsbury USA Childrens,250-499,1
Blu,<250,7
Blue Sky Press,<250,1
Bolchazy-Carducci Publishers,250-499,1
Bolchazy-Carducci Publishers,<250,2
Bold Strokes Books,<250,2
Bollingen/Princeton University Press (NJ),>=1000,1
Book Publishing Company,<250,1
Book Publishing Company (TN),250-499,1
Book of the Month Club,250-499,1
Bookclub-In-A-Box,<250,1
Booket,500-749,1
Booket,<250,1
Booklocker.com  Inc.,250-499,1
Books on Tape,250-499,1
Books on Tape,<250,5
Booksales,250-499,2
Bookspan,250-499,1
Boosey & Hawkes Inc,<250,1
Borgo Press,250-499,3
Borgo Press,<250,1
Boston Common Press,<250,1
Bradford Book,250-499,2
Bradford Book,500-749,1
Bradford Book,<250,1
BradyGames,250-499,2
BradyGames,<250,6
Bradygames,250-499,1
Bradygames,<250,1
Bragelonne,250-499,1
Brava,250-499,2
Bright Sky Press,500-749,1
Brill/Rodopi,<250,1
Brilliance Audio,250-499,1
Brilliance Audio,<250,20
Bristol Classical Press,250-499,1
Bristol Classical Press,<250,4
British Academy,<250,1
British Film Institute,<250,6
British Library,<250,1
Broadview Press Inc,250-499,3
Broadview Press Inc,500-749,1
Broadview Press Inc,<250,1
Broadway,500-749,1
Broadway Books,250-499,35
Broadway Books,500-749,5
Broadway Books,750-999,2
Broadway Books,<250,7
Broadway Business,250-499,1
Broadway/Crown Publishing Group,250-499,1
Brookline Books,<250,1
Bruno Gmünder,<250,1
Bryn Mawr Commentaries,<250,1
Buccaneer Books,250-499,2
Buccaneer Books,<250,1
Bulfinch,<250,1
Bureau of Public Secrets,500-749,1
Burford Books,250-499,1
Business Plus,<250,3
Byblos,500-749,1
C. Bange,<250,1
CDS Books,250-499,1
CMX,<250,1
CQ Press,<250,1
CRC Press,500-749,1
Caedmon,<250,7
Cambridge University Press,250-499,29
